Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
ITEM_SUB_TYPE_Belt,Belt,허리띠,Cinto,ベルト,Cinturon,เข็มขัด,sabuk,Пояс,皮带,腰帶,Sinturon,Dây nịt
ITEM_SUB_TYPE_Necklace,Necklace,목걸이,Colar,ネックレス,Collar,สร้อย,kalung,Ожерелье,项链,項鍊,Kuwintas,Dây chuyền
ITEM_SUB_TYPE_Ring,Ring,반지,Anel,リング,Anillo,แหวน,cincin,Кольцо,戒指,戒指,Singsing,Nhẫn
ITEM_SUB_TYPE_Helm,Helmet,투구,Capacete,ヘルム,Casco,หมวก,helm,Шлем,头盔,頭盔,Helmet,Mũ bảo hiểm
ITEM_SUB_TYPE_Aura,Aura,아우라,Aura,オーラ,Aura,ออร่า,Aura,Аура,光环,光環,Aura,Ánh sáng
ITEM_SUB_TYPE_Grimoire,Grimoire,그리무어,,,,,,,,,,
ITEM_SUB_TYPE_GRADE_1,Normal,노멀,Normal,ノーマル,Normal,ปกติ,Normal,Обычный,普通的,普通的,Normal,Bình thường
ITEM_SUB_TYPE_GRADE_2,Rare,레어,Cru,レア,Raro,หายาก,Langka,Редкий,稀有的,稀有的,Bihira,Hiếm
ITEM_SUB_TYPE_GRADE_3,Epic,에픽,Épico,エピック,Épico,มหากาพย์,Epik,эпический,史诗,史詩,Epiko,Huyền bí
ITEM_SUB_TYPE_GRADE_4,Unique,유니크,Único,ユニーク,Único,เป็นเอกลักษณ์,Unik,Уникальный,独特,獨特的,Natatangi,Độc đáo
ITEM_SUB_TYPE_GRADE_5,Legend,레전드,Lenda,レジェンド,Legendario,ตำนาน,Legenda,легенда,传奇,傳奇,Maalamat,Huyền thoại
ITEM_SUB_TYPE_Set,Set Item,세트 아이템,Colocar itens,セットアイテム,Conjunto,เซ็ตไอเท็ม,item set,Комплект брони,套装,設置項目,Set na Gamit,Bộ mục
ITEM_SUB_TYPE_Shoes,Shoes,신발,Sapatos,シューズ,Zapatos,รองเท้า,sepatu,Обувь,鞋子,鞋,Sapatos,Giày
ITEM_SUB_TYPE_EquipmentMaterial,Equipment Material,장비 재료,Material para equipamento,装備素材,Material de equipamento,วัตถุุดิบของใช้,bahan perlengkapan,Материалы экипировки,装备材料,裝備材料,Materyal ng Kagamitan,Nguyên liệu trang bị
ITEM_SUB_TYPE_FoodMaterial,Food Material,음식 재료,Material para comida,食材,Material de alimento,วัตถุดิบอาหาร,bahan makanan,Ингридиенты еды,食品材料,食物材料,Materyal ng Pagkain,Nguyên liệu thức ăn
ITEM_SUB_TYPE_MonsterPart,Monster Part,몬스터 파츠,Pedaço de monstro,モンスターパーツ,Parte de monstruo,ชิ้นส่วนมอนสเตอร์,bagian monster,Части монстров,怪物肢体,怪物部分,Piraso ng Halimaw,Bộ phận quái vật
ITEM_SUB_TYPE_NormalMaterial,Normal Material,일반 재료,Material normal,ノーマル素材,Material normal,วัตถุดิบทั่วไป,materi umum,Обычные материалы,普通材料,正常材料,Normal na Materyal,Nguyên liệu bình thường
TRADE_TYPE_Buy,Buy,구매,Compra,購入,Comprar,ซื้อ,beli,Купить,购买,買,Bilihin,Mua
TRADE_TYPE_Sell,Sell,판매,Venda,売却,Comprar,ขาย,jual,Продать,出售,賣,Ibenta,Bán
ITEM_SUB_TYPE_Hourglass,Hourglass,모래시계,Ampulheta,砂時計,Reloj de arena,นาฬิกาทราย,Jam Pasir,,沙漏,沙漏,Orasan,Đồng hồ cát
ITEM_SUB_TYPE_ApStone,AP Potion,AP 포션,Poção AP,APポーション,Poción AP,ยา AP,Ramuan AP,,AP药水,AP藥水,AP Potion,Bình AP
ITEM_SUB_TYPE_Scroll,Scroll,스크롤,,,,,,,,,,
ITEM_SUB_TYPE_Circle,Circle,써클,,,,,,,,,,
